Job started on node: gpu0002
Using GPU: 0
Running on CPU Profile. Thread threshold established at 12 loops.
Problem Geometry Linked -> Matrix Samples: 10000

Beginning execution of parallelized training matrix loops...
Epoch  870 | Cost: 1498.39 | Max P-Miss: 0.1413 | Max Q-Miss: 0.0427 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  880 | Cost: 1495.39 | Max P-Miss: 0.1388 | Max Q-Miss: 0.0410 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  890 | Cost: 1495.54 | Max P-Miss: 0.1324 | Max Q-Miss: 0.0392 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  900 | Cost: 1493.23 | Max P-Miss: 0.1356 | Max Q-Miss: 0.0306 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  910 | Cost: 1495.92 | Max P-Miss: 0.1524 | Max Q-Miss: 0.0305 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  920 | Cost: 1477.60 | Max P-Miss: 0.1600 | Max Q-Miss: 0.0438 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  930 | Cost: 1461.51 | Max P-Miss: 0.1289 | Max Q-Miss: 0.0566 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  940 | Cost: 1423.77 | Max P-Miss: 0.1490 | Max Q-Miss: 0.0464 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  950 | Cost: 1498.55 | Max P-Miss: 0.1300 | Max Q-Miss: 0.0348 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  960 | Cost: 1498.31 | Max P-Miss: 0.1346 | Max Q-Miss: 0.0342 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  970 | Cost: 1499.70 | Max P-Miss: 0.1322 | Max Q-Miss: 0.0358 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  980 | Cost: 1498.25 | Max P-Miss: 0.1400 | Max Q-Miss: 0.0386 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  990 | Cost: 1495.99 | Max P-Miss: 0.1354 | Max Q-Miss: 0.0369 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1000 | Cost: 1494.54 | Max P-Miss: 0.1304 | Max Q-Miss: 0.0328 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1010 | Cost: 1492.20 | Max P-Miss: 0.1227 | Max Q-Miss: 0.0289 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1020 | Cost: 1489.33 | Max P-Miss: 0.1323 | Max Q-Miss: 0.0306 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1030 | Cost: 1484.97 | Max P-Miss: 0.1271 | Max Q-Miss: 0.0301 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1040 | Cost: 1428.60 | Max P-Miss: 0.1371 | Max Q-Miss: 0.0433 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1050 | Cost: 1478.78 | Max P-Miss: 0.1206 | Max Q-Miss: 0.0334 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1060 | Cost: 1478.91 | Max P-Miss: 0.1098 | Max Q-Miss: 0.0753 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1070 | Cost: 1448.32 | Max P-Miss: 0.1268 | Max Q-Miss: 0.0636 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1080 | Cost: 1497.33 | Max P-Miss: 0.1275 | Max Q-Miss: 0.0313 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1090 | Cost: 1497.54 | Max P-Miss: 0.1271 | Max Q-Miss: 0.0333 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1100 | Cost: 1496.53 | Max P-Miss: 0.1296 | Max Q-Miss: 0.0346 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1110 | Cost: 1495.75 | Max P-Miss: 0.1269 | Max Q-Miss: 0.0343 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1120 | Cost: 1491.84 | Max P-Miss: 0.1297 | Max Q-Miss: 0.0346 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1130 | Cost: 1491.85 | Max P-Miss: 0.1330 | Max Q-Miss: 0.0344 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1140 | Cost: 1489.92 | Max P-Miss: 0.1342 | Max Q-Miss: 0.0351 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1150 | Cost: 1487.19 | Max P-Miss: 0.1309 | Max Q-Miss: 0.0338 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
