Job: acopf_run
Executing: ACOPF_DC3.py
Node: gpu0003
GPU Allocated: 1
CUDA Hardware Acceleration Active: NVIDIA H100 PCIe
Problem Geometry Linked -> Matrix Samples: 10000

Beginning execution of parallelized training matrix loops for DC3...
Epoch  860 | Cost: 1535.31 | Max P-Miss: 0.1522 | Max Q-Miss: 0.0374 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0018
Epoch  870 | Cost: 1541.42 | Max P-Miss: 0.1309 | Max Q-Miss: 0.0424 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0016
Epoch  880 | Cost: 1550.82 | Max P-Miss: 0.1469 | Max Q-Miss: 0.0456 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0015
Epoch  890 | Cost: 1550.20 | Max P-Miss: 0.1318 | Max Q-Miss: 0.0481 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0014
Epoch  900 | Cost: 1550.80 | Max P-Miss: 0.1294 | Max Q-Miss: 0.0443 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0015
Epoch  910 | Cost: 1536.66 | Max P-Miss: 0.1387 | Max Q-Miss: 0.0375 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0015
Epoch  920 | Cost: 1531.73 | Max P-Miss: 0.1376 | Max Q-Miss: 0.0349 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0015
Epoch  930 | Cost: 1530.16 | Max P-Miss: 0.1440 | Max Q-Miss: 0.0349 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0015
Epoch  940 | Cost: 1528.49 | Max P-Miss: 0.1297 | Max Q-Miss: 0.0327 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0015
Epoch  950 | Cost: 1527.82 | Max P-Miss: 0.1261 | Max Q-Miss: 0.0355 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0015
Epoch  960 | Cost: 1529.26 | Max P-Miss: 0.1402 | Max Q-Miss: 0.0413 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0017
Epoch  970 | Cost: 1527.00 | Max P-Miss: 0.1439 | Max Q-Miss: 0.0405 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0018
Epoch  980 | Cost: 1525.52 | Max P-Miss: 0.1593 | Max Q-Miss: 0.0451 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0017
Epoch  990 | Cost: 1475.45 | Max P-Miss: 0.2085 | Max Q-Miss: 0.0911 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0016
Epoch 1000 | Cost: 1403.63 | Max P-Miss: 0.2939 | Max Q-Miss: 0.1547 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0022
