Job: acopf_ISS
Executing: ACOPF_pinn_baseline.py
Node: issnode1
GPU Allocated: 0
CUDA Hardware Acceleration Active: NVIDIA GeForce RTX 4090
Problem Geometry Linked -> Matrix Samples: 10000

Beginning execution of parallelized training matrix loops...
Epoch  870 | Val Loss: 0.3702 | Val Cost:    0.00 | Val Max P-Miss: 0.3330 | Max Q-Miss: 0.0555 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  880 | Val Loss: 0.3642 | Val Cost:    0.00 | Val Max P-Miss: 0.3057 | Max Q-Miss: 0.0638 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  890 | Val Loss: 0.4317 | Val Cost:    0.00 | Val Max P-Miss: 0.3529 | Max Q-Miss: 0.0981 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  900 | Val Loss: 0.4030 | Val Cost:    0.00 | Val Max P-Miss: 0.3032 | Max Q-Miss: 0.1192 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  910 | Val Loss: 0.3687 | Val Cost:    0.00 | Val Max P-Miss: 0.3435 | Max Q-Miss: 0.0474 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  920 | Val Loss: 0.3679 | Val Cost:    0.00 | Val Max P-Miss: 0.3377 | Max Q-Miss: 0.0460 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  930 | Val Loss: 0.3679 | Val Cost:    0.00 | Val Max P-Miss: 0.3349 | Max Q-Miss: 0.0454 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  940 | Val Loss: 0.3688 | Val Cost:    0.00 | Val Max P-Miss: 0.3373 | Max Q-Miss: 0.0443 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  950 | Val Loss: 0.3880 | Val Cost:    0.00 | Val Max P-Miss: 0.3758 | Max Q-Miss: 0.0566 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  960 | Val Loss: 0.4087 | Val Cost:    0.00 | Val Max P-Miss: 0.2903 | Max Q-Miss: 0.1758 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  970 | Val Loss: 0.3670 | Val Cost:    0.00 | Val Max P-Miss: 0.2899 | Max Q-Miss: 0.0434 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  980 | Val Loss: 0.3638 | Val Cost:    0.00 | Val Max P-Miss: 0.2886 | Max Q-Miss: 0.0439 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  990 | Val Loss: 0.3629 | Val Cost:    0.00 | Val Max P-Miss: 0.2873 | Max Q-Miss: 0.0434 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch 1000 | Val Loss: 0.3638 | Val Cost:    0.00 | Val Max P-Miss: 0.2869 | Max Q-Miss: 0.0446 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 1010 | Val Loss: 0.3645 | Val Cost:    0.00 | Val Max P-Miss: 0.2812 | Max Q-Miss: 0.0449 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 1020 | Val Loss: 0.3654 | Val Cost:    0.00 | Val Max P-Miss: 0.2815 | Max Q-Miss: 0.0462 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 1030 | Val Loss: 0.3660 | Val Cost:    0.00 | Val Max P-Miss: 0.2800 | Max Q-Miss: 0.0473 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
