Architecture,Run,Instance_ID,Raw_Obj_Gap_pct,Raw_Max_Eq,Raw_Mean_Eq,Raw_Max_Ineq,Raw_Mean_Ineq,NN_Time_s,Restoration_Success,Restoration_Status,Restoration_Time_s,Total_Online_Time_s,Restoration_Distance,Restored_Cost,IPOPT_Cost,Restored_Obj_Gap_pct,Restored_Max_Eq,Restored_Mean_Eq,Restored_Max_Ineq,Restored_Mean_Ineq
PINN Baseline,2,5,38.673744201660156,1.0882657766342163,0.12322133779525757,0.433628648519516,0.040809422731399536,0.00018564000019978267,False,infeasible,0.11893129999953089,0.11911693999973068,,,2116.685546875,,,,,
PINN Baseline,2,6,32.94137191772461,1.097894549369812,0.12633249163627625,0.4241688847541809,0.03990630432963371,0.00018564000019978267,False,infeasible,0.11877230000027339,0.11895794000047318,,,2211.462646484375,,,,,
PINN Baseline,2,7,36.42116165161133,1.0928832292556763,0.12473022937774658,0.4291865825653076,0.04028630256652832,0.00018564000019978267,False,infeasible,0.13711630000034347,0.13730194000054324,,,2154.029296875,,,,,
PINN Baseline,2,8,35.930973052978516,1.0948634147644043,0.12461365759372711,0.42656588554382324,0.040015026926994324,0.00018564000019978267,False,infeasible,0.15496659999917028,0.15515223999937006,,,2162.856689453125,,,,,
PINN Baseline,2,9,41.218753814697266,1.0981303453445435,0.1262984722852707,0.42495957016944885,0.03984124958515167,0.00018564000019978267,False,infeasible,0.1167596000013873,0.11694524000158708,,,2082.473388671875,,,,,
PINN Baseline,3,0,34.29100036621094,1.134677767753601,0.11751266568899155,0.43209123611450195,0.04066109657287598,0.00013375999988056718,False,infeasible,0.13633429999754298,0.13646805999742356,,,2157.823486328125,,,,,
PINN Baseline,3,1,31.072771072387695,1.1127121448516846,0.11337784677743912,0.4327225685119629,0.04123120382428169,0.00013375999988056718,False,infeasible,0.12078089999704389,0.12091465999692445,,,2202.7431640625,,,,,
PINN Baseline,3,2,28.941360473632812,1.1087478399276733,0.11294833570718765,0.43376588821411133,0.04144270345568657,0.00013375999988056718,False,infeasible,0.09880789999806439,0.09894165999794495,,,2237.24365234375,,,,,
PINN Baseline,3,3,33.98609161376953,1.1207008361816406,0.11568399518728256,0.4303261339664459,0.04092545434832573,0.00013375999988056718,False,infeasible,0.10197609999886481,0.10210985999874538,,,2156.857177734375,,,,,
PINN Baseline,3,4,33.162574768066406,1.126314640045166,0.11804497987031937,0.43225133419036865,0.040877074003219604,0.00013375999988056718,False,infeasible,0.12017790000027162,0.12031166000015218,,,2173.237060546875,,,,,
