Instance,Success,Status,Objective,Solve_Time_s,Max_Eq_Violation,Max_Ineq_Violation,Total_Pd,Total_Qd
53,True,optimal,111711.00092507401,0.6905197000014596,1.0963372432115648e-07,6.897144828599266e-07,73.30760104209185,11.704223031178117
54,True,optimal,108071.00984364412,0.6800106999944546,1.0953199236496403e-07,6.859479526610812e-07,72.22821074351668,11.704483450390399
55,True,optimal,108284.01105522405,0.6678536999970675,1.0953054996321043e-07,6.864072332746218e-07,72.64274512976408,11.830346745438874
56,True,optimal,106221.46052751248,0.6862729000058607,1.0952599893698789e-07,6.852779108612594e-07,70.99347722902894,11.787900537252426
57,True,optimal,105822.57113162095,0.7146470000006957,1.0951859863439495e-07,6.865050181659171e-07,70.51473390311003,11.751536438241601
58,True,optimal,110967.06844496109,0.6694802999991225,1.0954392415385428e-07,6.898940085875438e-07,73.32259736955166,11.70559546817094
59,True,optimal,107860.1262099957,0.6591637999954401,1.09991866281689e-07,6.807064636404903e-07,72.50226502865553,11.612642988562584
60,True,optimal,106641.8385505555,0.6949909999966621,1.0899754521176419e-07,4.66419649569616e-07,71.6175581626594,11.649092175066471
61,True,optimal,110554.36502547644,0.6227238999999827,1.0954249241024172e-07,6.894988899830423e-07,72.50340605527163,11.95300062932074
62,True,optimal,109800.511131551,0.6765252999975928,1.0953782592082462e-07,6.92406715074867e-07,72.2635380141437,11.865749578922987
63,True,optimal,111027.04903542167,0.6594507999980124,1.0954776108462738e-07,6.910620697908598e-07,72.7814233712852,11.857632266357541
64,True,optimal,109838.24697463562,0.6798774999988382,1.0953388063228431e-07,6.862794208473133e-07,73.68287674337626,11.788594185374677
65,True,optimal,104908.48094394835,0.6335487999967881,1.071891855275453e-07,4.6585863344716927e-07,70.94299982488155,11.58240525983274
66,True,optimal,106160.57611349155,0.6604264000052353,1.0836027541927251e-07,5.357009911222121e-07,71.30911675095558,11.70534760504961
67,True,optimal,108542.35827115345,0.6661557999977958,1.0953515783285184e-07,6.885695285063775e-07,72.44698892533779,11.827218934893608
68,True,optimal,109026.21625610894,0.6977771000019857,1.0953628226673118e-07,6.898762592300045e-07,72.70337932556868,11.88953463640064
69,True,optimal,107668.14518561593,0.6186684999993304,1.0803707795048467e-07,4.781998796943299e-07,73.63653046637774,11.775125578977168
70,True,optimal,107861.71118138227,0.7080894000027911,1.0953320561668534e-07,6.873377316196638e-07,72.31169419363141,11.713094072416425
71,True,optimal,103775.3026837851,0.6464651999995112,1.0693514163051532e-07,4.6498495009927865e-07,69.55275505781174,11.930118425749242
72,True,optimal,108843.1517246765,0.7156181999962428,1.0953039009109489e-07,6.862241690441806e-07,72.93212578818202,11.786036946810782
73,True,optimal,109935.70511266665,0.6585025000022142,1.0954062723556035e-07,6.88562920458935e-07,73.25143048539758,11.633282849565148
74,True,optimal,112755.29693500804,0.711306400000467,1.1059254667600271e-07,6.434015347167588e-07,71.88126426562667,11.605811656452715
75,True,optimal,105305.5399039405,0.7114243999967584,1.0720594545432505e-07,4.660803440970085e-07,71.48963790014386,11.856757442466915
76,True,optimal,101321.13261360888,0.6643073000013828,1.0627788071815303e-07,4.653735743431753e-07,69.5507848970592,11.827440039254725
77,True,optimal,109768.2583591285,0.6465065000011236,1.0953924700629614e-07,6.892393713542333e-07,72.94639633968472,12.039760803803802
78,True,optimal,104739.48131582917,0.6217106999974931,1.0687623053229345e-07,4.650065434930184e-07,71.4214831776917,11.691078818403184
79,True,optimal,104805.85828768424,0.6619209999989835,1.0902878777585556e-07,4.649069609286016e-07,70.62610044330359,11.799461713060737
80,True,optimal,108064.88216149047,0.6579320000018924,1.0904001257472373e-07,4.647843780958283e-07,73.22736310213804,11.768179554492235
81,True,optimal,109276.1111759606,0.6314127999939956,1.0953988649475832e-07,6.870532729408296e-07,72.58499272540212,11.827508445829153
82,True,optimal,108639.64258907779,0.7229432000021916,1.0953197460139563e-07,6.865028012725816e-07,72.68370209634304,11.766742362640798
83,True,optimal,105268.98282956288,0.6629296000028262,1.0724616927859643e-07,4.6607277681687265e-07,71.57842903211713,11.763638988137245
84,True,optimal,107623.7369667965,0.6723707999990438,1.0961564456124506e-07,6.879136691395615e-07,73.10513632372022,11.89043463114649
85,True,optimal,109528.93844989056,0.7075278999982402,1.0954192752876679e-07,6.873479492242041e-07,71.3221028149128,11.749515892006457
