Instance,Success,Status,Objective,Solve_Time_s,Max_Eq_Violation,Max_Ineq_Violation,Total_Pd,Total_Qd
21,True,optimal,228305.65372945502,1.4524472999983118,2.3769063872691731e-07,1.1195124161034187e-08,238.1911123096943,77.85903882258572
22,True,optimal,227278.526188052,1.2504792000036105,2.3724710374040114e-07,1.1198730387462774e-08,238.3746957629919,77.95870029658545
23,True,optimal,226997.1226705015,1.224827500001993,2.3722944320070383e-07,1.1184298598365672e-08,234.9159351508133,77.4592405015137
24,True,optimal,227826.94628974248,1.3093507000012323,2.3729444009745748e-07,1.119729242660128e-08,235.8833313183859,78.71998775249813
25,True,optimal,227525.31335251566,1.2805088999957661,2.37276239545281e-07,1.1196114924061362e-08,237.61658432567492,77.89781967084855
26,True,optimal,218027.28327476355,1.156766100000823,2.3713837649097513e-07,1.1185965487214844e-08,232.14353392086923,78.47834946704097
27,True,optimal,225125.4120957189,1.2697131999957492,2.3722541442339207e-07,1.119262837967483e-08,235.7808563131839,76.88172236515675
28,True,optimal,219875.8984104016,1.248383800004376,2.373215188811173e-07,1.1133844290966977e-08,236.38475720817223,77.71319869766012
29,True,optimal,221647.51229818547,1.1889750000045751,2.3730086695650243e-07,1.118492520824077e-08,234.02582732168958,79.3597771236673
30,True,optimal,221814.83889977713,1.2994356000053813,2.3728546594270483e-07,1.119585646414123e-08,235.25193057628348,77.2383101338055
31,True,optimal,224199.45671627246,1.1366341000029934,2.372944720718806e-07,1.1153685974818472e-08,235.4482580651529,78.35386728669982
32,True,optimal,230513.85869192163,1.384258400001272,2.3723379882767404e-07,1.1196394256174358e-08,235.04167726356536,77.57438828994054
33,True,optimal,226641.08716067774,1.2146729999949457,2.372540670592116e-07,1.119409098748747e-08,236.26247505936772,77.35556606948376
34,True,optimal,217721.00859162354,1.2298469000015757,2.3721485931105235e-07,1.119526271686766e-08,232.81612487928942,77.86633260920644
35,True,optimal,222372.30404330796,1.9724949000010383,2.372705409925402e-07,1.1119346332577607e-08,236.2561810524203,77.40136526559945
36,True,optimal,231491.13975097224,1.5084382999993977,2.3733402798598036e-07,1.1188664439387708e-08,237.2128582969308,77.17757511127274
37,True,optimal,227183.53452739064,1.406979899998987,2.3724018660686852e-07,1.1212938133553507e-08,236.97348353313282,77.58276485977694
38,True,optimal,221126.07473782598,1.4307263000009698,2.3722806119508277e-07,1.1199965399555367e-08,234.12293640570715,78.37736188620329
39,True,optimal,222661.43239704164,1.5109115000013844,2.3721816688748731e-07,1.1172445635310169e-08,236.7279191929847,77.43279726046603
40,True,optimal,223683.54455055128,2.1987937000012607,2.3722545350324253e-07,1.1184116521789633e-08,236.12237147754058,78.607485658722
41,True,optimal,223184.23862512116,1.615478300001996,2.3711820773542058e-07,1.1190973925323533e-08,235.86864717816934,77.0061606989475
42,True,optimal,218791.61805963484,2.031691399999545,2.372401581851591e-07,1.118537196198588e-08,234.04481304297224,77.67905354814138
43,True,optimal,218384.80598435854,1.220872199999576,2.3730066800453642e-07,1.1190518733883437e-08,233.6373061677441,77.9087862111628
44,True,optimal,217589.80180860858,1.2456542999934754,2.372306546760683e-07,1.1080351081105277e-08,234.5644272491336,77.0898362020962
45,True,optimal,227203.76466065928,1.1773538999987068,2.3722803632608702e-07,1.1209461803218801e-08,236.0300699020736,78.13004555902444
46,True,optimal,218435.60125568495,1.3009269000031054,2.3718893515933814e-07,1.1162486934779281e-08,234.10196865629405,77.53978460025974
47,True,optimal,225509.2611730586,1.2628404999995837,2.3724917852518956e-07,1.1198529881184527e-08,236.632192179095,77.87391881784424
48,True,optimal,217318.70094812356,1.126547899999423,2.3715649533073702e-07,1.119101344926321e-08,233.5871908706613,77.7545235393336
49,True,optimal,221106.29131392163,1.2646106999964104,2.3720586028730395e-07,1.1139902111878541e-08,234.3551903795451,77.79362792114262
50,True,optimal,218078.99910902506,1.2133372000025702,2.3716489039316002e-07,1.1189861481852859e-08,233.3588190432638,77.6961473954143
51,True,optimal,231088.1552728676,1.174617999997281,2.372159890740022e-07,1.117580183951361e-08,235.2699300465174,77.87355748191476
52,True,optimal,219000.0466758714,1.218229500002053,2.3714164498755963e-07,1.1190637527747072e-08,234.17937534069642,77.61730732675642
53,True,optimal,224575.49943655412,1.2378453999990597,2.3714892805060117e-07,1.1192846427476866e-08,236.2433704994619,77.97390661202371
54,True,optimal,221483.25181838233,1.1857835999981035,2.3719837116686904e-07,1.1177010206253613e-08,234.72000594530255,78.28141870338004
55,True,optimal,224196.62261570033,2.39974539999821,2.3721348085814498e-07,1.1188627802027895e-08,235.3501517730765,77.80346057168208
56,True,optimal,225650.15581976756,2.324941699996998,2.3723947961684644e-07,1.119120729420331e-08,234.51720233587548,78.34368537017144
57,True,optimal,226208.58540525514,2.2354286999980104,2.371467928696802e-07,1.1184084769411129e-08,234.17080766754225,77.24068507167976
58,True,optimal,222811.73264752628,2.0371874000047683,2.3730360965146247e-07,1.1188745929757715e-08,235.44061552314088,77.62074199889321
59,True,optimal,217992.0065749493,2.0667448000021977,2.3714809316288665e-07,1.1188055815125608e-08,234.30005481978878,77.79200530343223
60,True,optimal,219892.3291315017,2.4001438000050257,2.3729162634822387e-07,1.1192829330042287e-08,234.39343186374754,77.93261557479855
61,True,optimal,215149.38500077897,2.362723999998707,2.371019149904896e-07,1.1138029165635999e-08,234.87973850267008,77.99038366565946
62,True,optimal,218404.1878868943,2.3001445999980206,2.37264824676231e-07,1.1190902649005352e-08,234.35253548342735,76.9552783294348
63,True,optimal,226068.1546225481,2.363743900001282,2.372617089463347e-07,1.1193676430210076e-08,235.2750949379988,77.98307827999815
