Architecture,Raw_Max_Violation,Log_Max_Violation
PINN Baseline,13.825558,1.1406827
PINN Baseline,15.70517,1.1960427
PINN Baseline,13.259342,1.122522
PINN Baseline,14.939396,1.1743331
PINN Baseline,13.589453,1.133202
PINN Baseline,14.87615,1.1724906
PINN Baseline,13.961414,1.1449294
PINN Baseline,15.425026,1.1882259
PINN Baseline,14.518112,1.1619102
PINN Baseline,14.664286,1.166261
PINN Baseline,14.491276,1.1611066
PINN Baseline,14.379242,1.157736
PINN Baseline,15.521708,1.1909395
PINN Baseline,16.09214,1.2066138
PINN Baseline,16.357845,1.213726
PINN Baseline,14.40275,1.1584455
PINN Baseline,14.209127,1.1525674
PINN Baseline,16.34944,1.2135029
PINN Baseline,14.584644,1.1638958
PINN Baseline,14.992962,1.1758875
PINN Baseline,12.9734955,1.113057
PINN Baseline,14.418335,1.1589152
PINN Baseline,15.57745,1.1924964
PINN Baseline,15.007719,1.1763147
PINN Baseline,14.3725605,1.1575341
PINN Baseline,13.994762,1.1459656
PINN Baseline,16.910854,1.2281655
PINN Baseline,14.228981,1.1531738
PINN Baseline,15.111345,1.1793032
PINN Baseline,15.0305805,1.1769757
PINN Baseline,15.390997,1.1872667
PINN Baseline,14.743216,1.1685922
PINN Baseline,16.043772,1.2053065
PINN Baseline,14.66103,1.1661645
PINN Baseline,15.156797,1.1806074
PINN Baseline,15.805275,1.1988021
PINN Baseline,14.087172,1.1488239
PINN Baseline,14.977234,1.1754316
PINN Baseline,14.798052,1.1702045
PINN Baseline,13.5791855,1.1328738
PINN Baseline,15.01161,1.1764272
PINN Baseline,16.035849,1.205092
PINN Baseline,14.875717,1.172478
PINN Baseline,13.184444,1.1200619
PINN Baseline,15.414604,1.1879324
PINN Baseline,15.984373,1.2036957
PINN Baseline,14.659374,1.1661154
PINN Baseline,13.353506,1.1255953
PINN Baseline,15.883331,1.2009416
PINN Baseline,15.535635,1.191329
PINN Baseline,15.191414,1.1815982
PINN Baseline,15.637178,1.1941584
PINN Baseline,14.482807,1.1608528
PINN Baseline,14.358974,1.1571234
PINN Baseline,17.258196,1.2369953
PINN Baseline,15.968939,1.203276
PINN Baseline,15.858976,1.2002752
PINN Baseline,14.008408,1.1463888
PINN Baseline,16.031723,1.2049803
PINN Baseline,14.474352,1.1605991
PINN Baseline,14.760607,1.1691042
PINN Baseline,14.522314,1.1620358
PINN Baseline,15.593954,1.1929562
PINN Baseline,14.835743,1.1713094
PINN Baseline,14.702713,1.1673975
PINN Baseline,14.616367,1.1648395
PINN Baseline,14.018726,1.1467086
PINN Baseline,14.466204,1.1603546
PINN Baseline,15.25404,1.1833849
PINN Baseline,14.484314,1.160898
PINN Baseline,14.034512,1.1471972
PINN Baseline,15.806259,1.198829
PINN Baseline,15.0017605,1.1761422
PINN Baseline,14.359232,1.1571312
PINN Baseline,15.30986,1.1849712
PINN Baseline,15.357733,1.1863271
PINN Baseline,17.98447,1.2548976
PINN Baseline,14.772133,1.1694432
PINN Baseline,14.948065,1.174585
PINN Baseline,13.735001,1.1378287
PINN Baseline,13.597334,1.1334537
PINN Baseline,15.475002,1.1896307
PINN Baseline,14.755669,1.1689589
PINN Baseline,14.081804,1.1486583
PINN Baseline,14.591351,1.1640955
PINN Baseline,14.417097,1.1588778
PINN Baseline,14.557241,1.1630791
PINN Baseline,14.082489,1.1486794
PINN Baseline,13.451384,1.128767
PINN Baseline,16.132881,1.2077119
PINN Baseline,14.079023,1.1485726
PINN Baseline,14.039837,1.1473621
PINN Baseline,15.685329,1.1954937
PINN Baseline,14.629713,1.1652358
PINN Baseline,13.023499,1.1147276
PINN Baseline,14.384321,1.1578894
PINN Baseline,16.167856,1.2086525
PINN Baseline,15.359772,1.1863848
PINN Baseline,14.081579,1.1486514
PINN Baseline,14.40169,1.1584134
PINN Baseline,17.104694,1.2331153
PINN Baseline,16.68142,1.222233
PINN Baseline,15.232262,1.1827644
PINN Baseline,14.006416,1.146327
PINN Baseline,13.446789,1.1286186
PINN Baseline,14.38501,1.1579101
PINN Baseline,13.143351,1.1187061
PINN Baseline,14.5734005,1.1635609
PINN Baseline,14.609741,1.1646426
PINN Baseline,14.108696,1.1494869
PINN Baseline,14.464905,1.1603156
PINN Baseline,13.39208,1.1268481
PINN Baseline,14.783335,1.1697724
PINN Baseline,16.205389,1.2096595
PINN Baseline,13.078678,1.1165638
PINN Baseline,13.202719,1.1206634
PINN Baseline,14.392099,1.1581242
PINN Baseline,14.376415,1.1576506
PINN Baseline,14.307398,1.1555606
PINN Baseline,16.037405,1.2051342
PINN Baseline,14.200531,1.1523045
PINN Baseline,14.948366,1.1745937
PINN Baseline,13.566181,1.1324576
PINN Baseline,14.704821,1.1674597
PINN Baseline,14.492447,1.1611418
PINN Baseline,14.38382,1.1578742
PINN Baseline,14.230146,1.1532093
PINN Baseline,13.893494,1.1428114
PINN Baseline,13.383211,1.1265603
PINN Baseline,14.447899,1.1598047
PINN Baseline,14.707207,1.1675302
PINN Baseline,14.577412,1.1636804
PINN Baseline,15.783226,1.1981958
PINN Baseline,14.454094,1.1599909
PINN Baseline,15.237675,1.1829187
PINN Baseline,14.832144,1.171204
PINN Baseline,14.996611,1.1759931
PINN Baseline,16.221014,1.210078
PINN Baseline,16.589336,1.219829
PINN Baseline,15.98498,1.2037121
PINN Baseline,13.738232,1.1379309
PINN Baseline,15.103975,1.1790912
PINN Baseline,15.073643,1.1782182
PINN Baseline,15.978682,1.2035409
PINN Baseline,13.848658,1.1414077
PINN Baseline,15.762398,1.1976223
PINN Baseline,14.814249,1.1706797
PINN Baseline,14.697128,1.1672325
PINN Baseline,13.550158,1.1319443
PINN Baseline,14.249678,1.153805
PINN Baseline,13.714918,1.1371932
