Metric,Architecture_A,Architecture_B,Mean_A,Mean_B,Difference,p_value,p_adjusted,Significant
Mean_Eq,KKT,PINN Baseline,0.05051281598508358,0.12561376264691354,-0.07510094666182995,0.007936507936507936,0.11904761904761904,False
Mean_Eq,KKT,Rahul's Model,0.05051281598508358,0.04282158842235804,0.007691227562725542,0.007936507936507936,0.11904761904761904,False
Mean_Eq,PINN Baseline,Rahul's Model,0.12561376264691354,0.04282158842235804,0.08279217422455551,0.007936507936507936,0.11904761904761904,False
Max_Ineq,Ablated PINN,DC3,16.13745082778931,7230.7221734375,-7214.58472260971,0.007936507936507936,0.11904761904761904,False
Max_Ineq,Ablated PINN,FSNet,16.13745082778931,6955.980248828125,-6939.842798000335,0.007936507936507936,0.11904761904761904,False
Max_Ineq,Ablated PINN,KKT,16.13745082778931,0.4214492204904555,15.716001607298853,0.007936507936507936,0.11904761904761904,False
Max_Ineq,Ablated PINN,PINN Baseline,16.13745082778931,16.42625844841003,-0.28880762062072307,0.9444444444444444,0.9444444444444444,False
Max_Ineq,Ablated PINN,Rahul's Model,16.13745082778931,0.06528531510829924,16.07216551268101,0.007936507936507936,0.11904761904761904,False
Max_Ineq,DC3,FSNet,7230.7221734375,6955.980248828125,274.741924609375,0.007936507936507936,0.11904761904761904,False
Max_Ineq,DC3,KKT,7230.7221734375,0.4214492204904555,7230.30072421701,0.007936507936507936,0.11904761904761904,False
Max_Ineq,DC3,PINN Baseline,7230.7221734375,16.42625844841003,7214.295914989089,0.007936507936507936,0.11904761904761904,False
Max_Ineq,DC3,Rahul's Model,7230.7221734375,0.06528531510829924,7230.656888122391,0.007936507936507936,0.11904761904761904,False
Max_Ineq,FSNet,KKT,6955.980248828125,0.4214492204904555,6955.558799607635,0.007936507936507936,0.11904761904761904,False
Max_Ineq,FSNet,PINN Baseline,6955.980248828125,16.42625844841003,6939.553990379714,0.007936507936507936,0.11904761904761904,False
Max_Ineq,FSNet,Rahul's Model,6955.980248828125,0.06528531510829924,6955.914963513016,0.007936507936507936,0.11904761904761904,False
Max_Ineq,KKT,PINN Baseline,0.4214492204904555,16.42625844841003,-16.004809227919576,0.007936507936507936,0.11904761904761904,False
Max_Ineq,KKT,Rahul's Model,0.4214492204904555,0.06528531510829924,0.35616390538215625,0.007936507936507936,0.11904761904761904,False
Max_Ineq,PINN Baseline,Rahul's Model,16.42625844841003,0.06528531510829924,16.360973133301734,0.007936507936507936,0.11904761904761904,False
Mean_Ineq,Ablated PINN,DC3,0.15031439461410045,19.83493677558899,-19.68462238097489,0.007936507936507936,0.11904761904761904,False
Mean_Ineq,Ablated PINN,FSNet,0.15031439461410045,19.025950477600098,-18.875636082986,0.007936507936507936,0.11904761904761904,False
Mean_Ineq,Ablated PINN,KKT,0.15031439461410045,0.0005174178290095142,0.14979697678509094,0.007936507936507936,0.11904761904761904,False
Mean_Ineq,Ablated PINN,PINN Baseline,0.15031439461410045,0.09311997096389532,0.057194423650205134,0.007936507936507936,0.11904761904761904,False
Mean_Ineq,Ablated PINN,Rahul's Model,0.15031439461410045,7.786934008727258e-05,0.15023652527401318,0.007936507936507936,0.11904761904761904,False
Mean_Ineq,DC3,FSNet,19.83493677558899,19.025950477600098,0.8089862979888913,0.007936507936507936,0.11904761904761904,False
Mean_Ineq,DC3,KKT,19.83493677558899,0.0005174178290095142,19.83441935775998,0.007936507936507936,0.11904761904761904,False
Mean_Ineq,DC3,PINN Baseline,19.83493677558899,0.09311997096389532,19.741816804625095,0.007936507936507936,0.11904761904761904,False
Mean_Ineq,DC3,Rahul's Model,19.83493677558899,7.786934008727258e-05,19.8348589062489,0.007936507936507936,0.11904761904761904,False
Mean_Ineq,FSNet,KKT,19.025950477600098,0.0005174178290095142,19.02543305977109,0.007936507936507936,0.11904761904761904,False
Mean_Ineq,FSNet,PINN Baseline,19.025950477600098,0.09311997096389532,18.932830506636204,0.007936507936507936,0.11904761904761904,False
Mean_Ineq,FSNet,Rahul's Model,19.025950477600098,7.786934008727258e-05,19.02587260826001,0.007936507936507936,0.11904761904761904,False
Mean_Ineq,KKT,PINN Baseline,0.0005174178290095142,0.09311997096389532,-0.0926025531348858,0.007936507936507936,0.11904761904761904,False
Mean_Ineq,KKT,Rahul's Model,0.0005174178290095142,7.786934008727258e-05,0.0004395484889222416,0.007936507936507936,0.11904761904761904,False
Mean_Ineq,PINN Baseline,Rahul's Model,0.09311997096389532,7.786934008727258e-05,0.09304210162380805,0.007936507936507936,0.11904761904761904,False
