Job: acopf_ISS
Executing: ACOPF_Hard_KKT_multi.py --case_name pglib_opf_case14_ieee --epochs 10000
Node: issnode1
GPU Allocated: 0
CUDA Hardware Acceleration Active: NVIDIA GeForce RTX 4090

Beginning execution of parallelized training matrix loops for Multi-Branch Hard KKT...
Epoch  760 | Val Loss: -26.3936 | Val Cost: -195.16 | Val Max P-Miss: 1.1483 | Val Max Q-Miss: 0.2446 | Val Max Gen Viol: 0.0671 | Val Max Thermal: 0.0000
Epoch  770 | Val Loss: -37.2935 | Val Cost: -252.61 | Val Max P-Miss: 1.1537 | Val Max Q-Miss: 0.2376 | Val Max Gen Viol: 0.0865 | Val Max Thermal: 0.0000
Epoch  780 | Val Loss: -39.1409 | Val Cost: -303.55 | Val Max P-Miss: 1.1581 | Val Max Q-Miss: 0.2294 | Val Max Gen Viol: 0.1037 | Val Max Thermal: 0.0000
Epoch  790 | Val Loss: -85.4443 | Val Cost: -353.10 | Val Max P-Miss: 1.1617 | Val Max Q-Miss: 0.2310 | Val Max Gen Viol: 0.1204 | Val Max Thermal: 0.0000
Epoch  800 | Val Loss: 2309.5505 | Val Cost: -387.42 | Val Max P-Miss: 1.1637 | Val Max Q-Miss: 0.2417 | Val Max Gen Viol: 0.1320 | Val Max Thermal: 0.0000
Epoch  810 | Val Loss: 4213.7812 | Val Cost: -238.99 | Val Max P-Miss: 1.1528 | Val Max Q-Miss: 0.2187 | Val Max Gen Viol: 0.0822 | Val Max Thermal: 0.0000
Epoch  820 | Val Loss: 3189.5151 | Val Cost: -191.45 | Val Max P-Miss: 1.1530 | Val Max Q-Miss: 0.2724 | Val Max Gen Viol: 0.0663 | Val Max Thermal: 0.0000
Epoch  830 | Val Loss: 1094.5598 | Val Cost: -186.08 | Val Max P-Miss: 1.1521 | Val Max Q-Miss: 0.2815 | Val Max Gen Viol: 0.0644 | Val Max Thermal: 0.0000
Epoch  840 | Val Loss: 1068.5189 | Val Cost: -173.25 | Val Max P-Miss: 1.1555 | Val Max Q-Miss: 0.4500 | Val Max Gen Viol: 0.0599 | Val Max Thermal: 0.0000
Epoch  850 | Val Loss: 14.6143 | Val Cost: -188.65 | Val Max P-Miss: 1.1509 | Val Max Q-Miss: 0.4384 | Val Max Gen Viol: 0.0650 | Val Max Thermal: 0.0000
Epoch  860 | Val Loss: 1059.3544 | Val Cost: -202.81 | Val Max P-Miss: 1.1491 | Val Max Q-Miss: 0.3560 | Val Max Gen Viol: 0.0698 | Val Max Thermal: 0.0000
Epoch  870 | Val Loss: 611.0384 | Val Cost: -224.62 | Val Max P-Miss: 1.1504 | Val Max Q-Miss: 0.3373 | Val Max Gen Viol: 0.0771 | Val Max Thermal: 0.0000
Epoch  880 | Val Loss: 120.5728 | Val Cost: -244.16 | Val Max P-Miss: 1.1512 | Val Max Q-Miss: 0.3229 | Val Max Gen Viol: 0.0837 | Val Max Thermal: 0.0000
Epoch  890 | Val Loss: 909.2515 | Val Cost: -261.43 | Val Max P-Miss: 1.1518 | Val Max Q-Miss: 0.3089 | Val Max Gen Viol: 0.0894 | Val Max Thermal: 0.0000
Epoch  900 | Val Loss: 919.3726 | Val Cost: -280.11 | Val Max P-Miss: 1.1523 | Val Max Q-Miss: 0.2902 | Val Max Gen Viol: 0.0957 | Val Max Thermal: 0.0000
Epoch  910 | Val Loss: 21080.2344 | Val Cost: -284.38 | Val Max P-Miss: 1.1556 | Val Max Q-Miss: 0.3019 | Val Max Gen Viol: 0.0970 | Val Max Thermal: 0.0000
Epoch  920 | Val Loss: 604.2585 | Val Cost: -236.27 | Val Max P-Miss: 1.1506 | Val Max Q-Miss: 0.4248 | Val Max Gen Viol: 0.0810 | Val Max Thermal: 0.0000
Epoch  930 | Val Loss: 2239.9856 | Val Cost: -245.60 | Val Max P-Miss: 1.1496 | Val Max Q-Miss: 0.4367 | Val Max Gen Viol: 0.0839 | Val Max Thermal: 0.0000
Epoch  940 | Val Loss: 125.4047 | Val Cost: -265.61 | Val Max P-Miss: 1.1501 | Val Max Q-Miss: 0.4419 | Val Max Gen Viol: 0.0906 | Val Max Thermal: 0.0000
Epoch  950 | Val Loss: 237.6197 | Val Cost: -298.38 | Val Max P-Miss: 1.1520 | Val Max Q-Miss: 0.4182 | Val Max Gen Viol: 0.1015 | Val Max Thermal: 0.0000
Epoch  960 | Val Loss: 530.1312 | Val Cost: -330.59 | Val Max P-Miss: 1.1521 | Val Max Q-Miss: 0.4061 | Val Max Gen Viol: 0.1122 | Val Max Thermal: 0.0000
Epoch  970 | Val Loss: 19182.5879 | Val Cost: -281.01 | Val Max P-Miss: 1.1356 | Val Max Q-Miss: 0.3717 | Val Max Gen Viol: 0.0958 | Val Max Thermal: 0.0000
Epoch  980 | Val Loss: 1474.9333 | Val Cost: -228.60 | Val Max P-Miss: 1.1340 | Val Max Q-Miss: 0.5745 | Val Max Gen Viol: 0.0777 | Val Max Thermal: 0.0000
Epoch  990 | Val Loss: 171.7139 | Val Cost: -234.87 | Val Max P-Miss: 1.1356 | Val Max Q-Miss: 0.5847 | Val Max Gen Viol: 0.0797 | Val Max Thermal: 0.0000
Epoch 1000 | Val Loss: 22.1364 | Val Cost: -254.84 | Val Max P-Miss: 1.1386 | Val Max Q-Miss: 0.5658 | Val Max Gen Viol: 0.0863 | Val Max Thermal: 0.0000
Epoch 1010 | Val Loss: 933.1140 | Val Cost: -278.07 | Val Max P-Miss: 1.1423 | Val Max Q-Miss: 0.5593 | Val Max Gen Viol: 0.0940 | Val Max Thermal: 0.0000
Epoch 1020 | Val Loss: 2566.7922 | Val Cost: -270.63 | Val Max P-Miss: 1.1445 | Val Max Q-Miss: 0.4865 | Val Max Gen Viol: 0.0917 | Val Max Thermal: 0.0000
Epoch 1030 | Val Loss: 348.4683 | Val Cost: -234.73 | Val Max P-Miss: 1.1448 | Val Max Q-Miss: 0.3850 | Val Max Gen Viol: 0.0797 | Val Max Thermal: 0.0000
Epoch 1040 | Val Loss: -71.8824 | Val Cost: -261.84 | Val Max P-Miss: 1.1471 | Val Max Q-Miss: 0.3313 | Val Max Gen Viol: 0.0887 | Val Max Thermal: 0.0000
Epoch 1050 | Val Loss: 1603.2153 | Val Cost: -302.89 | Val Max P-Miss: 1.1510 | Val Max Q-Miss: 0.3111 | Val Max Gen Viol: 0.1023 | Val Max Thermal: 0.0000
Epoch 1060 | Val Loss: 9368.2158 | Val Cost: -299.23 | Val Max P-Miss: 1.1467 | Val Max Q-Miss: 0.3498 | Val Max Gen Viol: 0.1011 | Val Max Thermal: 0.0000
Epoch 1070 | Val Loss: 3783.2783 | Val Cost: -278.98 | Val Max P-Miss: 1.1401 | Val Max Q-Miss: 0.3195 | Val Max Gen Viol: 0.0943 | Val Max Thermal: 0.0000
Epoch 1080 | Val Loss: 142.7461 | Val Cost: -303.02 | Val Max P-Miss: 1.1474 | Val Max Q-Miss: 0.3478 | Val Max Gen Viol: 0.1020 | Val Max Thermal: 0.0000
Epoch 1090 | Val Loss: -128.3402 | Val Cost: -341.02 | Val Max P-Miss: 1.1491 | Val Max Q-Miss: 0.3370 | Val Max Gen Viol: 0.1145 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch 1100 | Val Loss: 42121.7344 | Val Cost: -317.13 | Val Max P-Miss: 1.1498 | Val Max Q-Miss: 0.3409 | Val Max Gen Viol: 0.1065 | Val Max Thermal: 0.0000
Epoch 1110 | Val Loss: 924.8365 | Val Cost: -224.57 | Val Max P-Miss: 1.1439 | Val Max Q-Miss: 0.5360 | Val Max Gen Viol: 0.0761 | Val Max Thermal: 0.0000
Epoch 1120 | Val Loss: 31832.6035 | Val Cost: -206.60 | Val Max P-Miss: 1.1290 | Val Max Q-Miss: 0.4678 | Val Max Gen Viol: 0.0702 | Val Max Thermal: 0.0000
Epoch 1130 | Val Loss: 99.3720 | Val Cost: -181.95 | Val Max P-Miss: 1.1324 | Val Max Q-Miss: 0.4638 | Val Max Gen Viol: 0.0619 | Val Max Thermal: 0.0000
Epoch 1140 | Val Loss: 198.5526 | Val Cost: -237.08 | Val Max P-Miss: 1.1402 | Val Max Q-Miss: 0.4370 | Val Max Gen Viol: 0.0801 | Val Max Thermal: 0.0000
Epoch 1150 | Val Loss: 656.1201 | Val Cost: -260.38 | Val Max P-Miss: 1.1460 | Val Max Q-Miss: 0.4237 | Val Max Gen Viol: 0.0877 | Val Max Thermal: 0.0000
Epoch 1160 | Val Loss: 826.9642 | Val Cost: -271.56 | Val Max P-Miss: 1.1389 | Val Max Q-Miss: 0.3429 | Val Max Gen Viol: 0.0914 | Val Max Thermal: 0.0000
