Sheet,Metric,Architecture 1,Architecture 2,MW_U_Stat,MW_p_val,KS_D_Stat,KS_p_val,MW_Sig (p<0.05),KS_Sig (p<0.05)
57,MAE_qg,DC3,FSNet,0.0,0.0079,1.0,0.0079,True,True
57,MAE_qg,DC3,KKT,0.0,0.0079,1.0,0.0079,True,True
57,MAE_qg,DC3,Rahul's Model,15.0,0.6905,0.6,0.3571,False,False
57,MAE_qg,FSNet,KKT,0.0,0.0079,1.0,0.0079,True,True
57,MAE_qg,FSNet,Rahul's Model,24.0,0.0159,0.8,0.0794,True,False
57,MAE_qg,KKT,Rahul's Model,25.0,0.0079,1.0,0.0079,True,True
57,Time_s,PINN Baseline,DC3,11.0,0.8413,0.4,0.873,False,False
57,Time_s,PINN Baseline,FSNet,19.0,0.2222,0.6,0.3571,False,False
57,Time_s,PINN Baseline,KKT,5.0,0.1508,0.8,0.0794,False,False
57,Time_s,PINN Baseline,Rahul's Model,5.0,0.1508,0.8,0.0794,False,False
57,Time_s,DC3,FSNet,19.0,0.2222,0.6,0.3571,False,False
57,Time_s,DC3,KKT,0.0,0.0079,1.0,0.0079,True,True
57,Time_s,DC3,Rahul's Model,0.0,0.0079,1.0,0.0079,True,True
57,Time_s,FSNet,KKT,0.0,0.0079,1.0,0.0079,True,True
57,Time_s,FSNet,Rahul's Model,0.0,0.0079,1.0,0.0079,True,True
57,Time_s,KKT,Rahul's Model,11.0,0.8413,0.4,0.873,False,False
162,Obj. Error (%),PINN Baseline,DC3,0.0,0.0079,1.0,0.0079,True,True
162,Obj. Error (%),PINN Baseline,FSNet,0.0,0.0119,1.0,0.0079,True,True
162,Obj. Error (%),PINN Baseline,KKT,0.0,0.0079,1.0,0.0079,True,True
162,Obj. Error (%),PINN Baseline,Rahul's Model,0.0,0.0079,1.0,0.0079,True,True
162,Obj. Error (%),DC3,FSNet,25.0,0.0119,1.0,0.0079,True,True
162,Obj. Error (%),DC3,KKT,25.0,0.0079,1.0,0.0079,True,True
162,Obj. Error (%),DC3,Rahul's Model,0.0,0.0079,1.0,0.0079,True,True
162,Obj. Error (%),FSNet,KKT,12.0,1.0,0.4,0.873,False,False
162,Obj. Error (%),FSNet,Rahul's Model,0.0,0.0119,1.0,0.0079,True,True
162,Obj. Error (%),KKT,Rahul's Model,0.0,0.0079,1.0,0.0079,True,True
162,Max_Eq,PINN Baseline,DC3,0.0,0.0079,1.0,0.0079,True,True
162,Max_Eq,PINN Baseline,FSNet,0.0,0.0079,1.0,0.0079,True,True
162,Max_Eq,PINN Baseline,KKT,24.0,0.0159,0.8,0.0794,True,False
162,Max_Eq,PINN Baseline,Rahul's Model,5.0,0.1508,0.8,0.0794,False,False
162,Max_Eq,DC3,FSNet,22.0,0.0556,0.6,0.3571,False,False
162,Max_Eq,DC3,KKT,25.0,0.0079,1.0,0.0079,True,True
162,Max_Eq,DC3,Rahul's Model,25.0,0.0079,1.0,0.0079,True,True
162,Max_Eq,FSNet,KKT,25.0,0.0079,1.0,0.0079,True,True
162,Max_Eq,FSNet,Rahul's Model,25.0,0.0079,1.0,0.0079,True,True
162,Max_Eq,KKT,Rahul's Model,0.0,0.0079,1.0,0.0079,True,True
162,Mean_Eq,PINN Baseline,DC3,0.0,0.0079,1.0,0.0079,True,True
162,Mean_Eq,PINN Baseline,FSNet,0.0,0.0079,1.0,0.0079,True,True
162,Mean_Eq,PINN Baseline,KKT,25.0,0.0079,1.0,0.0079,True,True
