Job: acopf_run
Executing: ACOPF_FSNet.py
Node: gpu0001
GPU Allocated: 1
CUDA Hardware Acceleration Active: NVIDIA H100 PCIe
Problem Geometry Linked -> Matrix Samples: 10000

Beginning execution of parallelized training matrix loops for FSNet...
Epoch  610 | Cost: 1466.39 | Max P-Miss: 0.1535 | Max Q-Miss: 0.0727 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  620 | Cost: 1497.92 | Max P-Miss: 0.1317 | Max Q-Miss: 0.0607 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  630 | Cost: 1495.03 | Max P-Miss: 0.1550 | Max Q-Miss: 0.0333 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  640 | Cost: 1511.91 | Max P-Miss: 0.1539 | Max Q-Miss: 0.0455 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  650 | Cost: 1510.98 | Max P-Miss: 0.1381 | Max Q-Miss: 0.0480 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  660 | Cost: 1510.89 | Max P-Miss: 0.1421 | Max Q-Miss: 0.0463 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  670 | Cost: 1509.57 | Max P-Miss: 0.1396 | Max Q-Miss: 0.0440 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  680 | Cost: 1507.18 | Max P-Miss: 0.1365 | Max Q-Miss: 0.0434 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  690 | Cost: 1503.97 | Max P-Miss: 0.1360 | Max Q-Miss: 0.0436 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  700 | Cost: 1505.06 | Max P-Miss: 0.1405 | Max Q-Miss: 0.0407 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  710 | Cost: 1500.63 | Max P-Miss: 0.1394 | Max Q-Miss: 0.0386 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  720 | Cost: 1498.22 | Max P-Miss: 0.1328 | Max Q-Miss: 0.0418 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  730 | Cost: 1495.49 | Max P-Miss: 0.1345 | Max Q-Miss: 0.0412 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  740 | Cost: 1494.39 | Max P-Miss: 0.1425 | Max Q-Miss: 0.0428 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  750 | Cost: 1493.50 | Max P-Miss: 0.1315 | Max Q-Miss: 0.0455 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  760 | Cost: 1492.21 | Max P-Miss: 0.1349 | Max Q-Miss: 0.0471 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  770 | Cost: 1491.19 | Max P-Miss: 0.1458 | Max Q-Miss: 0.0575 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  780 | Cost: 1395.00 | Max P-Miss: 0.1219 | Max Q-Miss: 0.1209 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  790 | Cost: 1475.25 | Max P-Miss: 0.1155 | Max Q-Miss: 0.0479 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  800 | Cost: 1508.57 | Max P-Miss: 0.1164 | Max Q-Miss: 0.0469 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  810 | Cost: 1505.52 | Max P-Miss: 0.1164 | Max Q-Miss: 0.0496 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  820 | Cost: 1503.81 | Max P-Miss: 0.1196 | Max Q-Miss: 0.0511 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  830 | Cost: 1500.78 | Max P-Miss: 0.1197 | Max Q-Miss: 0.0513 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  840 | Cost: 1493.50 | Max P-Miss: 0.1150 | Max Q-Miss: 0.0475 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  850 | Cost: 1491.35 | Max P-Miss: 0.1150 | Max Q-Miss: 0.0428 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  860 | Cost: 1490.56 | Max P-Miss: 0.1123 | Max Q-Miss: 0.0444 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  870 | Cost: 1345.76 | Max P-Miss: 0.2093 | Max Q-Miss: 0.0748 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  880 | Cost: 1448.89 | Max P-Miss: 0.1606 | Max Q-Miss: 0.0620 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  890 | Cost: 1471.75 | Max P-Miss: 0.1519 | Max Q-Miss: 0.0607 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  900 | Cost: 1455.14 | Max P-Miss: 0.1335 | Max Q-Miss: 0.0844 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  910 | Cost: 1505.75 | Max P-Miss: 0.1178 | Max Q-Miss: 0.0882 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  920 | Cost: 1482.96 | Max P-Miss: 0.1731 | Max Q-Miss: 0.1075 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  930 | Cost: 1467.42 | Max P-Miss: 0.1387 | Max Q-Miss: 0.0378 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  940 | Cost: 1505.23 | Max P-Miss: 0.1386 | Max Q-Miss: 0.0365 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  950 | Cost: 1500.60 | Max P-Miss: 0.1352 | Max Q-Miss: 0.0358 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  960 | Cost: 1500.23 | Max P-Miss: 0.1344 | Max Q-Miss: 0.0353 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  970 | Cost: 1500.31 | Max P-Miss: 0.1416 | Max Q-Miss: 0.0405 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  980 | Cost: 1498.62 | Max P-Miss: 0.1330 | Max Q-Miss: 0.0363 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  990 | Cost: 1496.20 | Max P-Miss: 0.1334 | Max Q-Miss: 0.0350 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1000 | Cost: 1491.89 | Max P-Miss: 0.1355 | Max Q-Miss: 0.0336 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1010 | Cost: 1490.81 | Max P-Miss: 0.1355 | Max Q-Miss: 0.0349 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1020 | Cost: 1491.92 | Max P-Miss: 0.1338 | Max Q-Miss: 0.0344 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1030 | Cost: 1490.44 | Max P-Miss: 0.1335 | Max Q-Miss: 0.0322 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1040 | Cost: 1488.13 | Max P-Miss: 0.1331 | Max Q-Miss: 0.0354 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1050 | Cost: 1489.99 | Max P-Miss: 0.1354 | Max Q-Miss: 0.0376 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1060 | Cost: 1489.22 | Max P-Miss: 0.1441 | Max Q-Miss: 0.0440 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1070 | Cost: 1487.38 | Max P-Miss: 0.1570 | Max Q-Miss: 0.0422 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1080 | Cost: 1485.92 | Max P-Miss: 0.1897 | Max Q-Miss: 0.0560 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1090 | Cost: 1461.88 | Max P-Miss: 0.1181 | Max Q-Miss: 0.0526 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1100 | Cost: 1496.64 | Max P-Miss: 0.1188 | Max Q-Miss: 0.0446 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1110 | Cost: 1494.07 | Max P-Miss: 0.1132 | Max Q-Miss: 0.0358 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1120 | Cost: 1491.88 | Max P-Miss: 0.1136 | Max Q-Miss: 0.0418 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1130 | Cost: 1436.72 | Max P-Miss: 0.1298 | Max Q-Miss: 0.0603 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1140 | Cost: 1423.36 | Max P-Miss: 0.1422 | Max Q-Miss: 0.1005 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1150 | Cost: 1470.46 | Max P-Miss: 0.1057 | Max Q-Miss: 0.0594 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1160 | Cost: 1501.17 | Max P-Miss: 0.1149 | Max Q-Miss: 0.0377 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1170 | Cost: 1502.92 | Max P-Miss: 0.1257 | Max Q-Miss: 0.0475 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1180 | Cost: 1498.70 | Max P-Miss: 0.1206 | Max Q-Miss: 0.0425 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch 1190 | Cost: 1494.73 | Max P-Miss: 0.1225 | Max Q-Miss: 0.0409 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
