Job: acopf_ISS
Executing: ACOPF_Hard_KKT_multi.py
Node: issnode2
GPU Allocated: 0
CUDA Hardware Acceleration Active: NVIDIA GeForce RTX 4090

Beginning execution of parallelized training matrix loops for Multi-Branch Hard KKT...
Epoch  420 | Val Loss: 21.1146 | Val Cost: 1607.44 | Val Max P-Miss: 0.1925 | Val Max Q-Miss: 0.0495 | Val Max Gen Viol: 0.0116 | Val Max Thermal: 0.0000
Epoch  430 | Val Loss: 20.3745 | Val Cost: 1605.98 | Val Max P-Miss: 0.1525 | Val Max Q-Miss: 0.0445 | Val Max Gen Viol: 0.0116 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  440 | Val Loss: 20.2439 | Val Cost: 1597.33 | Val Max P-Miss: 0.1228 | Val Max Q-Miss: 0.0604 | Val Max Gen Viol: 0.0116 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  450 | Val Loss: 23.8596 | Val Cost: 1518.43 | Val Max P-Miss: 0.1733 | Val Max Q-Miss: 0.0833 | Val Max Gen Viol: 0.0116 | Val Max Thermal: 0.0000
Epoch  460 | Val Loss: 21.9914 | Val Cost: 1599.67 | Val Max P-Miss: 0.1832 | Val Max Q-Miss: 0.0603 | Val Max Gen Viol: 0.0116 | Val Max Thermal: 0.0000
Epoch  470 | Val Loss: 20.9914 | Val Cost: 1625.08 | Val Max P-Miss: 0.1468 | Val Max Q-Miss: 0.0550 | Val Max Gen Viol: 0.0116 | Val Max Thermal: 0.0000
Epoch  480 | Val Loss: 20.4469 | Val Cost: 1619.83 | Val Max P-Miss: 0.1236 | Val Max Q-Miss: 0.0535 | Val Max Gen Viol: 0.0116 | Val Max Thermal: 0.0000
Epoch  490 | Val Loss: 20.0598 | Val Cost: 1617.33 | Val Max P-Miss: 0.1222 | Val Max Q-Miss: 0.0587 | Val Max Gen Viol: 0.0116 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  500 | Val Loss: 27.1357 | Val Cost: 1577.87 | Val Max P-Miss: 0.2704 | Val Max Q-Miss: 0.0613 | Val Max Gen Viol: 0.0116 | Val Max Thermal: 0.0000
Epoch  510 | Val Loss: 21.7847 | Val Cost: 1605.32 | Val Max P-Miss: 0.2299 | Val Max Q-Miss: 0.0412 | Val Max Gen Viol: 0.0116 | Val Max Thermal: 0.0000
Epoch  520 | Val Loss: 20.6363 | Val Cost: 1615.69 | Val Max P-Miss: 0.1810 | Val Max Q-Miss: 0.0316 | Val Max Gen Viol: 0.0116 | Val Max Thermal: 0.0000
Epoch  530 | Val Loss: 20.2246 | Val Cost: 1608.65 | Val Max P-Miss: 0.1604 | Val Max Q-Miss: 0.0305 | Val Max Gen Viol: 0.0116 | Val Max Thermal: 0.0000
Epoch  540 | Val Loss: 22.1367 | Val Cost: 1539.21 | Val Max P-Miss: 0.1679 | Val Max Q-Miss: 0.0891 | Val Max Gen Viol: 0.0116 | Val Max Thermal: 0.0000
Epoch  550 | Val Loss: 21.7422 | Val Cost: 1535.46 | Val Max P-Miss: 0.1792 | Val Max Q-Miss: 0.0759 | Val Max Gen Viol: 0.0116 | Val Max Thermal: 0.0000
Epoch  560 | Val Loss: 20.6798 | Val Cost: 1575.48 | Val Max P-Miss: 0.1471 | Val Max Q-Miss: 0.0513 | Val Max Gen Viol: 0.0116 | Val Max Thermal: 0.0000
Epoch  570 | Val Loss: 20.9415 | Val Cost: 1584.36 | Val Max P-Miss: 0.1406 | Val Max Q-Miss: 0.0769 | Val Max Gen Viol: 0.0116 | Val Max Thermal: 0.0000
