Job: acopf_run
Executing: ACOPF_pinn_rahul.py
Node: gpu0002
GPU Allocated: 0
Running on CPU Profile. Thread threshold established at 12 loops.
Problem Geometry Linked -> Matrix Samples: 10000

Beginning execution of parallelized training matrix loops for Rahul KKT PINN...
Epoch  740 | Cost:  115.55 | Max P-Miss: 0.5504 | Max Q-Miss: 0.4170 | Max Gen Viol: 0.9747 | Max Thermal: 0.0000
Epoch  750 | Cost:  115.61 | Max P-Miss: 0.5491 | Max Q-Miss: 0.4215 | Max Gen Viol: 0.9780 | Max Thermal: 0.0000
Epoch  760 | Cost:  117.20 | Max P-Miss: 0.5543 | Max Q-Miss: 0.4286 | Max Gen Viol: 0.9765 | Max Thermal: 0.0000
Epoch  770 | Cost:  119.50 | Max P-Miss: 0.5447 | Max Q-Miss: 0.4390 | Max Gen Viol: 0.9815 | Max Thermal: 0.0000
Epoch  780 | Cost:  122.41 | Max P-Miss: 0.5326 | Max Q-Miss: 0.4786 | Max Gen Viol: 0.9697 | Max Thermal: 0.0000
Epoch  790 | Cost:  124.92 | Max P-Miss: 0.5499 | Max Q-Miss: 0.4249 | Max Gen Viol: 0.9757 | Max Thermal: 0.0000
Epoch  800 | Cost:  127.29 | Max P-Miss: 0.5457 | Max Q-Miss: 0.4243 | Max Gen Viol: 0.9783 | Max Thermal: 0.0000
Epoch  810 | Cost:  129.81 | Max P-Miss: 0.5457 | Max Q-Miss: 0.4314 | Max Gen Viol: 0.9780 | Max Thermal: 0.0000
Epoch  820 | Cost:   24.59 | Max P-Miss: 3.3455 | Max Q-Miss: 3.9900 | Max Gen Viol: 0.9900 | Max Thermal: 0.0000
Epoch  830 | Cost:   36.38 | Max P-Miss: 2.3073 | Max Q-Miss: 3.8586 | Max Gen Viol: 0.8140 | Max Thermal: 0.0000
Epoch  840 | Cost:  107.89 | Max P-Miss: 0.5554 | Max Q-Miss: 0.4296 | Max Gen Viol: 0.9819 | Max Thermal: 0.0000
Epoch  850 | Cost:  115.01 | Max P-Miss: 0.5622 | Max Q-Miss: 0.4393 | Max Gen Viol: 0.9766 | Max Thermal: 0.0000
Epoch  860 | Cost:  117.26 | Max P-Miss: 0.5384 | Max Q-Miss: 0.4629 | Max Gen Viol: 0.9752 | Max Thermal: 0.0000
Epoch  870 | Cost:  114.37 | Max P-Miss: 0.5562 | Max Q-Miss: 0.4341 | Max Gen Viol: 0.9700 | Max Thermal: 0.0000
Epoch  880 | Cost:  118.32 | Max P-Miss: 0.5595 | Max Q-Miss: 0.4344 | Max Gen Viol: 0.9821 | Max Thermal: 0.0000
Epoch  890 | Cost:  122.72 | Max P-Miss: 0.5584 | Max Q-Miss: 0.4377 | Max Gen Viol: 0.9826 | Max Thermal: 0.0000
Epoch  900 | Cost:  -55.56 | Max P-Miss: 0.5694 | Max Q-Miss: 0.6575 | Max Gen Viol: 0.9684 | Max Thermal: 0.0000
Epoch  910 | Cost:   81.29 | Max P-Miss: 2.8920 | Max Q-Miss: 6.7242 | Max Gen Viol: 0.8777 | Max Thermal: 14.3729
Epoch  920 | Cost:   71.83 | Max P-Miss: 0.5601 | Max Q-Miss: 0.4452 | Max Gen Viol: 0.9076 | Max Thermal: 0.0000
Epoch  930 | Cost:   97.55 | Max P-Miss: 0.5506 | Max Q-Miss: 0.4450 | Max Gen Viol: 0.9812 | Max Thermal: 0.0000
Epoch  940 | Cost:   99.00 | Max P-Miss: 0.5561 | Max Q-Miss: 0.4381 | Max Gen Viol: 0.9820 | Max Thermal: 0.0000
Epoch  950 | Cost:   89.72 | Max P-Miss: 0.5519 | Max Q-Miss: 0.4378 | Max Gen Viol: 0.9831 | Max Thermal: 0.0000
Epoch  960 | Cost:   97.71 | Max P-Miss: 0.5563 | Max Q-Miss: 0.4388 | Max Gen Viol: 0.9761 | Max Thermal: 0.0000
Epoch  970 | Cost:  107.10 | Max P-Miss: 0.5530 | Max Q-Miss: 0.4412 | Max Gen Viol: 0.9804 | Max Thermal: 0.0000
Epoch  980 | Cost:   95.09 | Max P-Miss: 0.5375 | Max Q-Miss: 0.4129 | Max Gen Viol: 0.8662 | Max Thermal: 0.0000
Epoch  990 | Cost:  103.35 | Max P-Miss: 0.5403 | Max Q-Miss: 0.4441 | Max Gen Viol: 0.9771 | Max Thermal: 0.0000
Epoch 1000 | Cost:  113.29 | Max P-Miss: 0.5534 | Max Q-Miss: 0.4464 | Max Gen Viol: 0.9754 | Max Thermal: 0.0000
Epoch 1010 | Cost:  104.97 | Max P-Miss: 0.5698 | Max Q-Miss: 0.6495 | Max Gen Viol: 0.9178 | Max Thermal: 0.0000
Epoch 1020 | Cost: -125.89 | Max P-Miss: 0.9347 | Max Q-Miss: 1.0575 | Max Gen Viol: 1.1706 | Max Thermal: 0.0000
Epoch 1030 | Cost:  -85.98 | Max P-Miss: 0.5623 | Max Q-Miss: 0.4388 | Max Gen Viol: 0.9795 | Max Thermal: 0.0000
Epoch 1040 | Cost:  -72.55 | Max P-Miss: 0.5530 | Max Q-Miss: 0.4443 | Max Gen Viol: 0.9775 | Max Thermal: 0.0000
Epoch 1050 | Cost:  -58.30 | Max P-Miss: 0.5604 | Max Q-Miss: 0.4413 | Max Gen Viol: 0.9804 | Max Thermal: 0.0000
Epoch 1060 | Cost:  -44.99 | Max P-Miss: 0.5536 | Max Q-Miss: 0.4460 | Max Gen Viol: 0.9737 | Max Thermal: 0.0000
