Bus,Case,Projection,Weights,N_Runs,Objective_Deviation_pct_Mean,Objective_Deviation_pct_SD,Objective_Deviation_pct_CI_L,Objective_Deviation_pct_CI_U,Max_Eq_Mean,Max_Eq_SD,Max_Eq_CI_L,Max_Eq_CI_U,Mean_Eq_Mean,Mean_Eq_SD,Mean_Eq_CI_L,Mean_Eq_CI_U,Max_Ineq_Mean,Max_Ineq_SD,Max_Ineq_CI_L,Max_Ineq_CI_U,Mean_Ineq_Mean,Mean_Ineq_SD,Mean_Ineq_CI_L,Mean_Ineq_CI_U,Max_Violation_Mean,Max_Violation_SD,Max_Violation_CI_L,Max_Violation_CI_U,Feasibility_Rate_Mean,Feasibility_Rate_SD,Feasibility_Rate_CI_L,Feasibility_Rate_CI_U,Inference_Time_s_Mean,Inference_Time_s_SD
162,pglib_opf_case162_ieee_dtc,full,equal,5,-100.0,0.0,-100.0,-100.0,6.056701194953918,0.5912450754748647,5.61822711977005,6.5003260642766945,0.28200782116651535,0.03176102243051319,0.2586065686846524,0.30544056932672864,1.2201909674644469,0.17621360417435405,1.0916460199785232,1.3551490862607958,0.012106101283617318,0.006819642285237844,0.007106937562704552,0.0171070247958228,6.056701194953918,0.5912450754748647,5.61822711977005,6.5003260642766945,0.0,0.0,0.0,0.0,2.5429967790842054e-07,8.457717776038458e-08
162,pglib_opf_case162_ieee_dtc,full,inequality,5,-100.0,0.0,-100.0,-100.0,7.65286819152832,0.022543508358427135,7.6192982414865495,7.6856042376327505,0.30706600358486175,0.0010541561509548967,0.30625463384747503,0.30789439432039856,0.037157235574722294,0.0009144250340827183,0.036438812160938985,0.03787827444449067,8.098452779377113e-05,9.961682298307581e-06,7.387357584411802e-05,8.969792910604157e-05,7.65286819152832,0.022543508358427135,7.6192982414865495,7.6856042376327505,0.0,0.0,0.0,0.0,2.2574132308363915e-07,4.4094042543917546e-08
162,pglib_opf_case162_ieee_dtc,full,nominal,5,-37.33372570495605,0.8975530871178493,-38.03330366758347,-36.65383431451797,0.43269790951609616,0.03876716881030268,0.40396386808723206,0.46366006784856323,0.11228578471839427,0.012169992450486375,0.10361115739878267,0.1227185423765704,15.660005965805055,1.1495907496897653,15.0173598391819,16.685334078187942,0.08445474912971257,0.01040970406738776,0.07722917080499232,0.09346042094670236,15.660005965805055,1.1495907496897653,15.0173598391819,16.685334078187942,0.0,0.0,0.0,0.0,2.0213862881064416e-07,2.215115025589242e-08
162,pglib_opf_case162_ieee_dtc,full,objective,5,-81.47254052886963,0.13224793224180476,-81.5741900326538,-81.37255014091492,0.643157728457451,0.06028383155106125,0.600305473550409,0.6929118222816287,0.20098434402346613,0.006926016473011018,0.19477277298159895,0.20484943185172977,18.263265995025634,3.3709378051013927,15.652716678171156,20.75046541950226,0.10324733782261611,0.012605340224787511,0.09373981823582203,0.11274995847728103,18.263265995025634,3.3709378051013927,15.652716678171156,20.75046541950226,0.0,0.0,0.0,0.0,2.1675461903214454e-07,4.0631327680351054e-08
162,pglib_opf_case162_ieee_dtc,full,physics,5,-43.07013851699829,2.974350715769464,-45.43709860225678,-40.96528161193848,0.7965468235373497,0.021001818208789876,0.7802113852122425,0.8131969225525856,0.16004404468238353,0.022049224431463597,0.1480556440601498,0.17957156577028335,0.8819105365991593,0.0007817534174724578,0.881477881436646,0.8826207580003141,0.025715593294799326,0.005651173719012411,0.022847121899323537,0.030810371050955725,0.8890838302373887,0.003763114870090738,0.8856724384504556,0.8920768002155424,0.0,0.0,0.0,0.0,1.9245538860559464e-07,6.508338594920863e-09
300,pglib_opf_case300_ieee,full,equal,5,-100.0,0.0,-100.0,-100.0,4.515284251117706,0.015473567641541177,4.501307245451212,4.528353593219518,0.4647521735608577,0.013298699539592767,0.45571013256013393,0.4756446898978948,0.8823454600334169,0.0008490951925541697,0.881643199634552,0.8830630865836143,0.012756037509813906,0.004461112310633029,0.00982927583079785,0.016641603190018797,4.515284251117706,0.015473567641541177,4.501307245451212,4.528353593219518,0.0,0.0,0.0,0.0,1.9661514088511467e-07,3.427956898809805e-09
300,pglib_opf_case300_ieee,full,inequality,5,-100.0,0.0,-100.0,-100.0,4.62038589167595,0.20018231400041986,4.513125196983815,4.801067116402388,0.4663547498881817,0.008280915781701346,0.4598753961743415,0.47232581843703986,0.5137333698689938,0.06327440131413797,0.4603715419651567,0.5536042184963823,0.002343183381459676,0.00043590730915121496,0.002001640992842149,0.0026673141930345446,4.62038589167595,0.20018231400041986,4.513125196983815,4.801067116402388,0.0,0.0,0.0,0.0,2.5206189602613456e-07,8.815886595186185e-08
300,pglib_opf_case300_ieee,full,nominal,5,55.593441379547116,2.673541049936053,53.62464533704758,57.83901685897827,0.9875095271468162,0.10328458634154652,0.9086572073921559,1.068534181111753,0.13786109314560888,0.0016822802667521473,0.13652291550055146,0.13905167310610417,26.322368434143065,0.7026983293068468,25.759148665390015,26.850912621421813,0.06696081836074591,0.0035693546416275183,0.06413906021669506,0.0697828314531967,26.322368434143065,0.7026983293068468,25.759148665390015,26.850912621421813,0.0,0.0,0.0,0.0,2.2407965734601018e-07,3.684166798070412e-08
300,pglib_opf_case300_ieee,full,objective,5,-84.16849187164307,1.073714633586946,-84.95181834285736,-83.2531661289215,2.1413156461000447,0.07399521702447301,2.089373945772648,2.2055858389008045,0.36436058490872386,0.01736397165636822,0.3549400813424587,0.37982659193560475,10.709062170791626,2.0193438608715515,9.153164224386217,12.258146234121321,0.035225457687303424,0.01068839196635034,0.029204896334391085,0.04490962935258635,10.709062170791626,2.0193438608715515,9.153164224386217,12.258146234121321,0.0,0.0,0.0,0.0,2.0861998200416564e-07,3.041179972392779e-08
300,pglib_opf_case300_ieee,full,physics,5,65.0780396018982,4.9218613636035835,61.32790808336257,68.86541936359407,1.2466762875080106,0.2194008344416495,1.071189204671979,1.4124444487053156,0.16399158940315245,0.018724958298751704,0.15307450016312305,0.18066687145024538,0.883421846461296,0.00015374846160386079,0.8833011678087712,0.8835425102877617,0.01716331324931234,0.0041165405722360555,0.015102384998439812,0.020876837856760245,1.249387363386154,0.2166013803554747,1.0739083647233247,1.4124444487053156,0.0,0.0,0.0,0.0,2.0750006660819051e-07,3.2848733117774574e-08
