Bus,Case,Projection,Weights,Seed,Checkpoint,Objective_Deviation_pct,Max_Eq,Mean_Eq,Max_Ineq,Mean_Ineq,Max_Violation,Feasibility_Rate,Inference_Time_s
57,pglib_opf_case57_ieee,full,equal,3,model/best_controlled_full_equal_pglib_opf_case57_ieee_10000epochs_seed3_20260922_060408.pth,-100.0,0.35246171003580096,0.12704824774712326,0.07008112961053849,0.001016452262410894,0.35246171003580096,0.0,2.69169919192791e-07
57,pglib_opf_case57_ieee,full,equal,4,model/best_controlled_full_equal_pglib_opf_case57_ieee_10000epochs_seed4_20260922_063857.pth,-100.0,0.35225290548801425,0.12690173390507697,0.07060941511392593,0.0010169831699458883,0.35225290548801425,0.0,2.8593884781002997e-07
57,pglib_opf_case57_ieee,full,equal,5,model/best_controlled_full_equal_pglib_opf_case57_ieee_10000epochs_seed5_20260922_071415.pth,-100.0,0.3518124850988388,0.12714134788513184,0.07034869730472565,0.0010119133014813997,0.3518124850988388,0.0,5.611078813672066e-07
57,pglib_opf_case57_ieee,full,inequality,1,model/best_controlled_full_inequality_pglib_opf_case57_ieee_10000epochs_seed1_20260922_074916.pth,-100.0,0.3625723098516464,0.12902527114748955,0.000596624732017517,3.4398949962906047e-06,0.3625723098516464,0.0,3.4161098301410677e-07
57,pglib_opf_case57_ieee,full,inequality,2,model/best_controlled_full_inequality_pglib_opf_case57_ieee_10000epochs_seed2_20260922_082423.pth,-100.0,0.3568899202644825,0.12885627917945386,0.00042147040367126467,2.452544058485273e-06,0.3568899202644825,0.0,4.2079482227563857e-07
57,pglib_opf_case57_ieee,full,inequality,3,model/best_controlled_full_inequality_pglib_opf_case57_ieee_10000epochs_seed3_20260922_085810.pth,-100.0,4.383049575328827,0.5162584349513054,0.5812084898352623,0.0065112706166692074,4.383049575328827,0.0,3.224760293960571e-07
57,pglib_opf_case57_ieee,full,inequality,4,model/best_controlled_full_inequality_pglib_opf_case57_ieee_10000epochs_seed4_20260922_093215.pth,-100.0,5.320816710472107,0.6434481853246689,0.7602833364605903,0.012151202864944935,5.320816710472107,0.0,4.02859877794981e-07
57,pglib_opf_case57_ieee,full,inequality,5,model/best_controlled_full_inequality_pglib_opf_case57_ieee_10000epochs_seed5_20260922_100557.pth,-100.0,0.35538954108953474,0.12860224781930446,0.0007227400541305542,3.152498947429194e-06,0.35538954108953474,0.0,3.572152927517891e-07
57,pglib_opf_case57_ieee,full,physics,1,model/best_controlled_full_physics_pglib_opf_case57_ieee_10000epochs_seed1_20260922_103454.pth,14.669212428092957,0.32848633360862733,0.0680894178673625,0.8830692368745804,0.012824455616995693,0.8830692368745804,0.0,3.522345796227455e-07
57,pglib_opf_case57_ieee,full,physics,2,model/best_controlled_full_physics_pglib_opf_case57_ieee_10000epochs_seed2_20260922_110332.pth,-22.831490405082704,0.10032995530962945,0.025389802077785135,0.01519505226612091,4.5331511964832314e-05,0.10032995530962945,0.0,2.7733296155929565e-07
57,pglib_opf_case57_ieee,full,physics,3,model/best_controlled_full_physics_pglib_opf_case57_ieee_10000epochs_seed3_20260922_113212.pth,-22.598274088859558,0.08230655134469271,0.025309980073943736,0.022156584918498992,8.406358149659354e-05,0.08230655134469271,0.0,2.3927586153149605e-07
57,pglib_opf_case57_ieee,full,physics,4,model/best_controlled_full_physics_pglib_opf_case57_ieee_10000epochs_seed4_20260922_120115.pth,0.176536133310874,0.23066405576467514,0.04545601887628436,0.8828214992284775,0.006269716127309948,0.8828214992284775,0.0,3.0749570578336715e-07
57,pglib_opf_case57_ieee,full,physics,5,model/best_controlled_full_physics_pglib_opf_case57_ieee_10000epochs_seed5_20260922_122943.pth,-22.847838583946228,0.07957671777158976,0.025404162902384998,0.020476825892925262,7.335481727932347e-05,0.07957671777158976,0.0,3.3554527908563613e-07
57,pglib_opf_case57_ieee,full,objective,1,model/best_controlled_full_objective_pglib_opf_case57_ieee_10000epochs_seed1_20260922_125808.pth,-91.94809133911133,0.2946230072975159,0.11100823863595724,0.24051880341768264,0.0063249441110529,0.2946230072975159,0.0,3.298521041870117e-07
57,pglib_opf_case57_ieee,full,objective,2,model/best_controlled_full_objective_pglib_opf_case57_ieee_10000epochs_seed2_20260922_132755.pth,-91.84820976257325,0.3064157004952431,0.11056782890856266,0.25388175451755524,0.007034422237891704,0.3064157004952431,0.0,3.349720500409603e-07
57,pglib_opf_case57_ieee,full,objective,3,model/best_controlled_full_objective_pglib_opf_case57_ieee_10000epochs_seed3_20260922_135800.pth,-91.95584746551513,0.2949831977188587,0.11135603872686625,0.23979986840486525,0.006226980119477957,0.2949831977188587,0.0,3.333780914545059e-07
57,pglib_opf_case57_ieee,full,objective,4,model/best_controlled_full_objective_pglib_opf_case57_ieee_10000epochs_seed4_20260922_142653.pth,-91.94406959533691,0.29702069190144537,0.1113394371420145,0.2547981016039848,0.007301531313918531,0.29702069190144537,0.0,2.2926460951566695e-07
57,pglib_opf_case57_ieee,full,objective,5,model/best_controlled_full_objective_pglib_opf_case57_ieee_10000epochs_seed5_20260922_170449.pth,-91.96160950469971,0.2949717012047768,0.11050398996472359,0.2384302013516426,0.006164085186552256,0.2949717012047768,0.0,2.2233324125409126e-07
162,pglib_opf_case162_ieee_dtc,none,nominal,1,model/controlled_ablation_20260922/iss_4090/case162/best_controlled_none_nominal_pglib_opf_case162_ieee_dtc_10000epochs_seed1_20260922_214108.pth,-45.930270133972165,0.43834298369288444,0.09518795069307089,20.761955657958985,0.1726888473033905,20.761955657958985,0.0,2.1920586004853248e-07
162,pglib_opf_case162_ieee_dtc,none,nominal,2,model/controlled_ablation_20260922/iss_4090/case162/best_controlled_none_nominal_pglib_opf_case162_ieee_dtc_10000epochs_seed2_20260922_214842.pth,-47.11337635803223,0.3752812413573265,0.08856943311542273,15.67851879119873,0.1439851953238249,15.67851879119873,0.0,1.212935894727707e-07
162,pglib_opf_case162_ieee_dtc,none,nominal,3,model/controlled_ablation_20260922/iss_4090/case162/best_controlled_none_nominal_pglib_opf_case162_ieee_dtc_10000epochs_seed3_20260922_215543.pth,-48.46064579391479,0.45562626749277113,0.09021534983813763,15.763105861663819,0.14348126681149007,15.763105861663819,0.0,1.25993974506855e-07
162,pglib_opf_case162_ieee_dtc,none,nominal,4,model/controlled_ablation_20260922/iss_4090/case162/best_controlled_none_nominal_pglib_opf_case162_ieee_dtc_10000epochs_seed4_20260922_220404.pth,-47.91147338867187,0.3529258037507534,0.08685353740304709,15.315182428359986,0.14406829266250135,15.315182428359986,0.0,1.2653786689043045e-07
162,pglib_opf_case162_ieee_dtc,none,nominal,5,model/controlled_ablation_20260922/iss_4090/case162/best_controlled_none_nominal_pglib_opf_case162_ieee_dtc_10000epochs_seed5_20260922_221055.pth,-47.68978446960449,0.45064968183636667,0.08801186498254537,15.062123111724853,0.14575404700636863,15.062123111724853,0.0,1.183697022497654e-07
162,pglib_opf_case162_ieee_dtc,voltage,nominal,1,model/controlled_ablation_20260922/iss_4090/case162/best_controlled_voltage_nominal_pglib_opf_case162_ieee_dtc_10000epochs_seed1_20260922_221756.pth,-44.89848681259155,0.450927487462759,0.10371545708924532,16.785946992874145,0.1635087435245514,16.785946992874145,0.0,1.5231315046548842e-07
162,pglib_opf_case162_ieee_dtc,voltage,nominal,2,model/controlled_ablation_20260922/iss_4090/case162/best_controlled_voltage_nominal_pglib_opf_case162_ieee_dtc_10000epochs_seed2_20260922_222453.pth,-49.07292361831665,0.5000191631317139,0.08539614336192608,12.57885166168213,0.13455788888037204,12.57885166168213,0.0,3.344938158988953e-07
162,pglib_opf_case162_ieee_dtc,voltage,nominal,3,model/controlled_ablation_20260922/iss_4090/case162/best_controlled_voltage_nominal_pglib_opf_case162_ieee_dtc_10000epochs_seed3_20260922_223158.pth,-50.23613534927368,0.5539671261310577,0.08776423256099224,16.974354173660277,0.13696032806485892,16.974354173660277,0.0,1.6370508819818495e-07
162,pglib_opf_case162_ieee_dtc,voltage,nominal,4,model/controlled_ablation_20260922/iss_4090/case162/best_controlled_voltage_nominal_pglib_opf_case162_ieee_dtc_10000epochs_seed4_20260922_223856.pth,-49.128835147857664,0.5592827950716018,0.08568193501979113,12.84705287361145,0.13485852544009685,12.84705287361145,0.0,1.4377105981111526e-07
